Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Heart Contraction (GO:0060047)	3/41	0.0011591618913578303	0.04948909876164503	0	0	15.999731471535982	108.15911341117008	MYLK2;RYR2;TCAP
Regulation Of Epithelial Cell Proliferation (GO:0050678)	4/91	0.0011695185030737008	0.04948909876164503	0	0	9.390686100248844	63.39805395989424	NR4A1;ZFP36;GDF5;BMP6
Muscle Contraction (GO:0006936)	4/94	0.0013191131303682516	0.05100372891023484	0	0	9.076288659793814	60.183015264786206	MYLK2;RYR2;MYH1;BDKRB2
Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)	3/43	0.001332186949147925	0.05100372891023484	0	0	15.198214285714286	100.6263640450946	SERPINE1;CCL2;ICAM1
SMAD Protein Signal Transduction (GO:0060395)	3/51	0.002183359168658213	0.07720621374953822	0	0	12.660076530612244	77.56690496805962	JUN;GDF5;BMP6
Response To Muscle Stretch (GO:0035994)	2/14	0.0022086354679594264	0.07720621374953822	0	0	33.47979797979798	204.74170000862634	RYR2;TCAP
Cardiac Myofibril Assembly (GO:0055003)	2/15	0.0025400550495659814	0.08509184416046038	0	0	30.902874902874903	184.66227750849544	TCAP;MYLK3
Cellular Response To Fibroblast Growth Factor Stimulus (GO:0044344)	3/55	0.0027107668521441476	0.0858589427049338	0	0	11.683869701726845	69.05778892988798	NR4A1;ZFP36;CXCL8
Regulation Of Cell Differentiation (GO:0045595)	5/193	0.002978827479595141	0.0858589427049338	0	0	5.460715868794326	31.760754988717224	LTK;CEBPD;LIF;CCN2;HOPX
Chemokine-Mediated Signaling Pathway (GO:0070098)	3/57	0.0030013936557200744	0.0858589427049338	0	0	11.25	65.34763364562937	CXCL8;CCL2;CXCL5
Striated Muscle Contraction (GO:0006941)	3/57	0.0030013936557200744	0.0858589427049338	0	0	11.25	65.34763364562937	MYLK2;RYR2;TCAP
Muscle Tissue Morphogenesis (GO:0060415)	2/17	0.0032684109262669566	0.0858589427049338	0	0	26.77979797979798	153.27287136771164	MYLK2;TCAP
Cellular Response To Chemokine (GO:1990869)	3/59	0.003310481621707647	0.0858589427049338	0	0	10.847120991253645	61.94423726248467	CXCL8;CCL2;CXCL5
Heart Morphogenesis (GO:0003007)	3/59	0.003310481621707647	0.0858589427049338	0	0	10.847120991253645	61.94423726248467	MYLK2;RYR2;TCAP
Cellular Response To Catecholamine Stimulus (GO:0071870)	2/19	0.004082628592418498	0.10257604338451477	0	0	23.626856803327392	129.97167560734698	RYR2;PDE4B
Sensory Perception Of Pain (GO:0019233)	2/20	0.0045213816583109445	0.11015729858430301	0	0	22.31313131313131	120.46720485255871	CCL2;RETREG1
Second-Messenger-Mediated Signaling (GO:0019932)	3/72	0.005793119330725888	0.13314236446191272	0	0	8.797692990239574	45.31765901205048	CNKSR2;RYR2;CXCL8
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042)	2/23	0.0059615984087423605	0.13314236446191272	0	0	19.12265512265512	97.95420688684221	SERPINE1;ICAM1
Entrainment Of Circadian Clock By Photoperiod (GO:0043153)	2/23	0.0059615984087423605	0.13314236446191272	0	0	19.12265512265512	97.95420688684221	PER1;BHLHE40
Photoperiodism (GO:0009648)	2/24	0.006482271730931095	0.13727348795310917	0	0	18.252525252525253	91.96871159100819	PER1;BHLHE40
Regulation Of BMP Signaling Pathway (GO:0030510)	3/75	0.006488050425644463	0.13727348795310917	0	0	8.42984693877551	42.46782550140471	TNFAIP6;CHRDL1;GDF5
Inflammatory Response (GO:0006954)	5/236	0.006941271449111127	0.14116010028932444	0	0	4.434523809523809	22.040782053055004	CXCL8;TNFAIP6;BDKRB2;CCL2;CXCL5
Regulation Of Neutrophil Chemotaxis (GO:0090022)	2/25	0.0070228905616579315	0.14116010028932444	0	0	17.458058849363198	86.56718816669556	CXCL8;TNFAIP6
Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352)	2/26	0.0075832442771842316	0.14178903253153774	0	0	16.72979797979798	81.67176477193298	SERPINE1;ICAM1
Cardiac Muscle Cell Development (GO:0055013)	2/26	0.0075832442771842316	0.14178903253153774	0	0	16.72979797979798	81.67176477193298	TCAP;MYLK3
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004)	2/26	0.0075832442771842316	0.14178903253153774	0	0	16.72979797979798	81.67176477193298	RYR2;PDE4B
Cellular Response To Interleukin-1 (GO:0071347)	3/81	0.008021575654569938	0.1458478125152578	0	0	7.779042386185243	37.53870571481405	CXCL8;CCL2;MYLK3
Regulation Of SMAD Protein Signal Transduction (GO:0060390)	2/27	0.008163123834809206	0.1458478125152578	0	0	16.05979797979798	77.21757012849274	GDF5;BMP6
Calcium-Mediated Signaling (GO:0019722)	3/85	0.009152657621368746	0.15084056512573119	0	0	7.398083623693379	34.72446642015481	CNKSR2;RYR2;CXCL8
Response To Interleukin-1 (GO:0070555)	3/85	0.009152657621368746	0.15084056512573119	0	0	7.398083623693379	34.72446642015481	CXCL8;CCL2;MYLK3
Regulation Of Muscle Contraction (GO:0006937)	2/29	0.009380632159560398	0.15084056512573119	0	0	14.868686868686869	69.4235066492031	MYLK2;CNN1
Sarcomere Organization (GO:0045214)	2/29	0.009380632159560398	0.15084056512573119	0	0	14.868686868686869	69.4235066492031	TCAP;MYLK3
Integrated Stress Response Signaling (GO:0140467)	2/29	0.009380632159560398	0.15084056512573119	0	0	14.868686868686869	69.4235066492031	JUN;CEBPD
Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041)	2/31	0.010673774444413626	0.16503297410208762	0	0	13.841866945315221	62.841598838595445	SERPINE1;ICAM1
Cardiac Muscle Tissue Morphogenesis (GO:0055008)	2/31	0.010673774444413626	0.16503297410208762	0	0	13.841866945315221	62.841598838595445	MYLK2;TCAP
Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628)	2/33	0.012040934245614011	0.18265870063157857	0	0	12.947539915281851	57.22091784335224	SERPINE1;LIF
Regulation Of Cardiac Muscle Contraction (GO:0055117)	2/35	0.013480519451085454	0.1894371886585858	0	0	12.16161616161616	52.37411722938683	RYR2;PDE4B
Positive Regulation Of Cell Differentiation (GO:0045597)	5/283	0.014417722166763666	0.1894371886585858	0	0	3.6759967026378897	15.583642245917916	ZFP36;RRAS;CCN2;GDF5;BMP6
Regulation Of p38MAPK Cascade (GO:1900744)	2/37	0.014990961958181722	0.1894371886585858	0	0	11.465512265512265	48.15868054936693	PER1;GADD45B
Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)	2/37	0.014990961958181722	0.1894371886585858	0	0	11.465512265512265	48.15868054936693	CNN1;JUN
Positive Regulation Of Vasculature Development (GO:1904018)	3/104	0.015756485577243972	0.1894371886585858	0	0	6.000606183067286	24.90553525949548	CXCL8;RRAS;SERPINE1
Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036)	2/38	0.01577227115390671	0.1894371886585858	0	0	11.146464646464647	46.25227590562789	SERPINE1;ICAM1
Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874)	3/105	0.016161611519384115	0.1894371886585858	0	0	5.941476590636254	24.509283166683762	GADD45B;CCN2;INAVA
Regulation Of Receptor-Mediated Endocytosis (GO:0048259)	2/39	0.01657071735916363	0.1894371886585858	0	0	10.844662844662844	44.46439902329611	SERPINE1;SNAP91
Response To Tumor Necrosis Factor (GO:0034612)	3/108	0.017412012033031287	0.1894371886585858	0	0	5.770845481049562	23.3753576448046	ZFP36;CXCL8;CCL2
Regulation Of JNK Cascade (GO:0046328)	3/110	0.01827486568149407	0.1894371886585858	0	0	5.66240701888232	22.66224744731049	PER1;GADD45B;CCN2
Regulation Of MAPK Cascade (GO:0043408)	4/204	0.01992335048595656	0.1894371886585858	0	0	4.061649484536082	15.904862301371612	DUSP2;RRAS;LIF;INAVA
Negative Regulation Of BMP Signaling Pathway (GO:0030514)	2/43	0.019932105850148728	0.1894371886585858	0	0	9.784676028578467	38.311150344901016	TNFAIP6;CHRDL1
Cellular Response To Cytokine Stimulus (GO:0071345)	5/308	0.02002565489361523	0.1894371886585858	0	0	3.3683993399339935	13.172937681826458	ZFP36;CXCL8;CCL2;PLP2;MYLK3
Response To Endoplasmic Reticulum Stress (GO:0034976)	3/114	0.020070973116260375	0.1894371886585858	0	0	5.457253171538886	21.329568320720114	JUN;CXCL8;ATF3
Positive Regulation Of MAPK Cascade (GO:0043410)	5/310	0.020528039533969897	0.1894371886585858	0	0	3.345969945355191	13.002317231168508	LIF;CCL2;CCN2;INAVA;ICAM1
Embryonic Organ Morphogenesis (GO:0048562)	2/44	0.020813424812306434	0.1894371886585858	0	0	9.55122655122655	36.98384948247644	MFAP5;RYR2
Cellular Response To Tumor Necrosis Factor (GO:0071356)	3/119	0.022448388670726804	0.1894371886585858	0	0	5.220707248416608	19.820605319028314	ZFP36;CXCL8;CCL2
Positive Regulation Of Angiogenesis (GO:0045766)	3/119	0.022448388670726804	0.1894371886585858	0	0	5.220707248416608	19.820605319028314	CXCL8;RRAS;SERPINE1
Myofibril Assembly (GO:0030239)	2/46	0.02262394803778096	0.1894371886585858	0	0	9.116161616161616	34.538823466216414	TCAP;MYLK3
Regulation Of Interleukin-2 Production (GO:0032663)	2/47	0.023552791910826706	0.1894371886585858	0	0	8.913131313131313	33.410969996896725	ZFP36;PDE4B
Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167)	3/124	0.024972935422161845	0.1894371886585858	0	0	5.003710575139147	18.463505001794818	LTK;LIF;BDKRB2
Negative Regulation Of Erythrocyte Differentiation (GO:0045647)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	ZFP36
Negative Regulation Of Glucocorticoid Receptor Signaling Pathway (GO:2000323)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	PER1
DNA Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing (GO:0010792)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	SLX1A
Regulation Of Endothelial Cell-Matrix Adhesion Via Fibronectin (GO:1904904)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	RRAS
His-Purkinje System Development (GO:0003164)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	HOPX
Regulation Of Keratinocyte Apoptotic Process (GO:1902172)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	ZFP36
Negative Regulation Of Relaxation Of Muscle (GO:1901078)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	PDE4B
Negative Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0097201)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	JUN
Regulation Of Neutrophil Extravasation (GO:2000389)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	OLFM4
Regulation Of Relaxation Of Cardiac Muscle (GO:1901897)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	PDE4B
Cell-Cell Signaling Involved In Cardiac Conduction (GO:0086019)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	RYR2
Regulation Of Sarcomere Organization (GO:0060297)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	MYLK3
Cellular Response To Granulocyte Macrophage Colony-Stimulating Factor Stimulus (GO:0097011)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	ZFP36
Regulation Of T-Circle Formation (GO:1904429)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	SLX1A
Cellular Response To Iron Ion (GO:0071281)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	BMP6
Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	NR4A1
Cilium Disassembly (GO:0061523)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	KIF19
Response To Granulocyte Macrophage Colony-Stimulating Factor (GO:0097012)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	ZFP36
Response To Peptidoglycan (GO:0032494)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	INAVA
Double-Strand Break Repair Via Single-Strand Annealing (GO:0045002)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	SLX1A
Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	LIF
Hexose Import Across Plasma Membrane (GO:0140271)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	SLC5A1
Protection From Natural Killer Cell Mediated Cytotoxicity (GO:0042270)	1/5	0.024998564628756072	0.1894371886585858	0	0	49.7375	183.4784976020638	HLA-B
Positive Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0010862)	2/49	0.02545675356972742	0.1894371886585858	0	0	8.532989469159682	31.32267763485501	GDF5;BMP6
Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)	2/49	0.02545675356972742	0.1894371886585858	0	0	8.532989469159682	31.32267763485501	AMIGO2;ICAM1
G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)	2/50	0.02643151920502357	0.1894371886585858	0	0	8.35479797979798	30.35463590957481	CHRM5;CCL2
Regulation Of Stress-Activated MAPK Cascade (GO:0032872)	2/51	0.027421242200988235	0.1894371886585858	0	0	8.18387961245104	29.43280992262017	PER1;INAVA
Sensory Perception (GO:0007600)	2/51	0.027421242200988235	0.1894371886585858	0	0	8.18387961245104	29.43280992262017	CCL2;RETREG1
Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178)	3/130	0.028196397240404018	0.1894371886585858	0	0	4.7658685521452675	17.0072929638725	JUN;GDF5;BMP6
Cardiac Muscle Tissue Development (GO:0048738)	2/52	0.02842574985096019	0.1894371886585858	0	0	8.01979797979798	28.554168790073895	MYLK2;TCAP
Regulation Of Entry Of Bacterium Into Host Cell (GO:2000535)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	CXCL8
Regulation Of Glucocorticoid Receptor Signaling Pathway (GO:2000322)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	PER1
Negative Regulation Of Plasminogen Activation (GO:0010757)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	SERPINE1
Adherens Junction Maintenance (GO:0034334)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	INAVA
Bleb Assembly (GO:0032060)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	EMP1
Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Independent Decay (GO:0031086)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	ZFP36
Cellular Response To Caffeine (GO:0071313)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	RYR2
Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0014808)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	RYR2
Response To Alkaloid (GO:0043279)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	RYR2
Response To Caffeine (GO:0031000)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	RYR2
Definitive Hemopoiesis (GO:0060216)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	MFAP5
Detection Of Muscle Stretch (GO:0035995)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	TCAP
Skeletal Muscle Cell Differentiation (GO:0035914)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	MYLK2
Skeletal Muscle Thin Filament Assembly (GO:0030240)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	TCAP
Excitatory Chemical Synaptic Transmission (GO:0098976)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	SHISA6
Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane (GO:0016185)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	SNAP91
Glandular Epithelial Cell Development (GO:0002068)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	BMP6
Type B Pancreatic Cell Development (GO:0003323)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	BMP6
Receptor-Mediated Virion Attachment To Host Cell (GO:0046813)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	ICAM1
Regulation Of SA Node Cell Action Potential (GO:0098907)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	RYR2
Regulation Of T Cell Tolerance Induction (GO:0002664)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	HLA-B
Regulation Of Aldosterone Biosynthetic Process (GO:0032347)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	BMP6
Regulation Of Cell Adhesion Molecule Production (GO:0060353)	1/6	0.029923536019453228	0.1894371886585858	0	0	39.788	139.62046670613728	CXCL8
Positive Regulation Of Cellular Process (GO:0048522)	7/594	0.030867346170935978	0.19388551813619162	0	0	2.449961941353438	8.521105839435203	RYR2;ZFP36;EGR4;LIF;CCN2;BMP6;CXCL5
Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)	2/55	0.03152627363669756	0.19648933336360344	0	0	7.564703640175338	26.150681191711097	CCL2;GRIK1
Adenylate Cyclase-Inhibiting G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007197)	1/7	0.034823876845101125	0.20351776587960385	0	0	33.155	111.31632143244033	CHRM5
Regulation Of Vascular Wound Healing (GO:0061043)	1/7	0.034823876845101125	0.20351776587960385	0	0	33.155	111.31632143244033	SERPINE1
Release Of Sequestered Calcium Ion Into Cytosol By Endoplasmic Reticulum (GO:1903514)	1/7	0.034823876845101125	0.20351776587960385	0	0	33.155	111.31632143244033	RYR2
Positive Regulation Of Apoptotic Cell Clearance (GO:2000427)	1/7	0.034823876845101125	0.20351776587960385	0	0	33.155	111.31632143244033	CCL2
Telomeric D-loop Disassembly (GO:0061820)	1/7	0.034823876845101125	0.20351776587960385	0	0	33.155	111.31632143244033	SLX1A
Regulation Of ATPase-coupled Calcium Transmembrane Transporter Activity (GO:1901894)	1/7	0.034823876845101125	0.20351776587960385	0	0	33.155	111.31632143244033	RYR2
Regulation Of Apoptotic Cell Clearance (GO:2000425)	1/7	0.034823876845101125	0.20351776587960385	0	0	33.155	111.31632143244033	CCL2
Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	4/244	0.03524106176897625	0.20351776587960385	0	0	3.3778350515463917	11.300693589757145	RRAS;CCL2;CCN2;ICAM1
Regulation Of Cell Death (GO:0010941)	2/59	0.03585704422368467	0.20351776587960385	0	0	7.032429558745348	23.405439229134583	CCN2;OLFM4
Ras Protein Signal Transduction (GO:0007265)	3/144	0.036535521308830456	0.20351776587960385	0	0	4.289622231871472	14.196377396429982	CNKSR2;RRAS;PLEKHG7
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	5/364	0.03732685872744744	0.20351776587960385	0	0	2.834842154131848	9.321080458324412	MYLK2;CXCL8;ZNF804A;ACTG2;BMP6
BMP Signaling Pathway (GO:0030509)	2/61	0.03810378463057275	0.20351776587960385	0	0	6.793357301831878	22.19689871121963	GDF5;BMP6
Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393)	2/61	0.03810378463057275	0.20351776587960385	0	0	6.793357301831878	22.19689871121963	GDF5;BMP6
Adult Heart Development (GO:0007512)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	TCAP
Regulation Of Necrotic Cell Death (GO:0010939)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	OLFM4
Regulation Of Nephron Tubule Epithelial Cell Differentiation (GO:0072182)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	LIF
Regulation Of Neutrophil Migration (GO:1902622)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	OLFM4
p38MAPK Cascade (GO:0038066)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	ZFP36
Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903555)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	ZFP36
Skeletal Myofibril Assembly (GO:0014866)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	TCAP
Endothelial Cell Chemotaxis (GO:0035767)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	NR4A1
Type B Pancreatic Cell Differentiation (GO:0003309)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	BMP6
Proline Transport (GO:0015824)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	SLC6A17
Regulation Of DNA-templated Transcription Initiation (GO:2000142)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	JUN
Regulation Of RNA Biosynthetic Process (GO:2001141)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	CXCL8
Regulation Of Cell Killing (GO:0031341)	1/8	0.039699708710484755	0.20351776587960385	0	0	28.417142857142856	91.68539448196991	ICAM1
Cytokine-Mediated Signaling Pathway (GO:0019221)	4/257	0.041360392294041336	0.20351776587960385	0	0	3.202151501568803	10.20023446568347	CXCL8;CCL2;PLP2;CXCL5
Negative Regulation Of Cell Death (GO:0060548)	2/64	0.04157197291070385	0.20351776587960385	0	0	6.463668947539915	20.55659423254937	AMIGO2;CCN2
Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	2/65	0.04275355931318077	0.20351776587960385	0	0	6.360750360750361	20.051011352159435	CXCL8;CXCL5
Cellular Response To BMP Stimulus (GO:0071773)	2/66	0.04394764845658264	0.20351776587960385	0	0	6.26104797979798	19.56424825076857	GDF5;BMP6
Negative Regulation Of Hormone Secretion (GO:0046888)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	LIF
IMP Metabolic Process (GO:0046040)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	AMPD1
Regulation Of Hair Cycle (GO:0042634)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	PER1
Regulation Of High Voltage-Gated Calcium Channel Activity (GO:1901841)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	PDE4B
Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001910)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	ICAM1
Arachidonate Transport (GO:1903963)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	BDKRB2
Arachidonic Acid Secretion (GO:0050482)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	BDKRB2
Calcium Ion Transport Into Cytosol (GO:0060402)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	RYR2
Regulation Of Sequestering Of Calcium Ion (GO:0051282)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	RYR2
Cellular Response To Purine-Containing Compound (GO:0071415)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	RYR2
Embryonic Eye Morphogenesis (GO:0048048)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	MFAP5
Telomeric Loop Disassembly (GO:0090657)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	SLX1A
Positive Regulation Of miRNA-mediated Gene Silencing (GO:2000637)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	ZFP36
Glycerolipid Metabolic Process (GO:0046486)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	PNPLA3
Leucine Transport (GO:0015820)	1/9	0.04455115272986353	0.20351776587960385	0	0	24.86375	77.35404153540854	SLC6A17
